text,iodine,vitamin_e,calcium,iron,riboflavin_b2,folate_b9,vitamin_c,vitamin_b6,vitamin_d,zinc
confusion mood changes nerve issues depression irritability fatigue sore throat no weakness fatigue pregnancy issues poor diet,0,0,0,0,1,0,0,1,0,0
low hemoglobin anemia pale skin dizziness fatigue shortness of breath no prior illness reported,0,0,0,1,0,0,0,0,0,0
nerve issues confusion patient visited clinic yesterday,0,0,0,0,0,0,0,1,0,0
low hemoglobin fatigue general discomfort,0,0,0,1,0,0,0,0,0,0
no fatigue skin rash cracked lips eye irritation,0,0,0,0,0,0,0,0,0,0
muscle weakness vision problems immune weakness coordination issues muscle cramps tooth decay brittle nails bone weakness anemia pale skin routine checkup,0,1,1,1,0,0,0,0,0,0
sore throat eye irritation cracked lips skin rash fatigue shortness of breath pale skin anemia dizziness,0,0,0,1,1,0,0,0,0,0
tooth decay brittle nails muscle cramps bone weakness joint stiffness sore throat cracked lips skin rash fatigue routine checkup,0,0,1,0,1,0,0,0,0,0
hair loss loss of appetite poor immunity shortness of breath low hemoglobin dizziness pale skin anemia fatigue coordination issues nerve damage,0,1,0,1,0,0,0,0,0,1
not anemia poor diet fatigue pregnancy issues,0,0,0,0,0,0,0,0,0,0
scurvy weak immunity joint pain confusion depression irritability mood changes weakness anemia poor diet pregnancy issues routine checkup,0,0,0,0,0,1,1,1,0,0
muscle cramps brittle nails joint stiffness sore throat fatigue skin rash cracked lips mild headache after travel,0,0,1,0,1,0,0,0,0,0
fatigue neck enlargement hormone imbalance no immune weakness muscle weakness vision problems muscle weakness fractures bone pain low sunlight back pain routine checkup,1,0,0,0,0,0,0,0,1,0
fatigue hormone imbalance thyroid swelling goiter neck enlargement mild headache after travel,1,0,0,0,0,0,0,0,0,0
without poor immunity slow growth hair loss dizziness pale skin general discomfort,0,0,0,1,0,0,0,0,0,0
anemia shortness of breath no poor diet fatigue weakness pregnancy issues anemia fatigue weight gain goiter neck enlargement mild headache after travel,1,0,0,1,0,0,0,0,0,0
shortness of breath dizziness,0,0,0,1,0,0,0,0,0,0
scurvy weak immunity joint pain bleeding gums slow healing low hemoglobin anemia routine checkup,0,0,0,1,0,0,1,0,0,0
irritability depression nerve damage vision problems no prior illness reported,0,1,0,0,0,0,0,1,0,0
muscle weakness fractures back pain bone pain no prior illness reported,0,0,0,0,0,0,0,0,1,0
irritability confusion nerve issues mood changes sore throat fatigue skin rash goiter weight gain general discomfort,1,0,0,0,1,0,0,1,0,0
dizziness fatigue low hemoglobin general discomfort,0,0,0,1,0,0,0,0,0,0
sore throat fatigue eye irritation cracked lips no prior illness reported,0,0,0,0,1,0,0,0,0,0
hormone imbalance neck enlargement no prior illness reported,1,0,0,0,0,0,0,0,0,0
loss of appetite poor immunity,0,0,0,0,0,0,0,0,0,1
immune weakness vision problems pregnancy issues poor diet muscle weakness fractures low sunlight back pain,0,1,0,0,0,1,0,0,1,0
bleeding gums weak immunity slow healing mild headache after travel,0,0,0,0,0,0,1,0,0,0
poor immunity loss of appetite slow growth hair loss frequent infections not hormone imbalance thyroid swelling weight gain neck enlargement general discomfort,0,0,0,0,0,0,0,0,0,1
poor diet anemia vision problems immune weakness coordination issues,0,1,0,0,0,1,0,0,0,0
slow growth loss of appetite hair loss poor immunity weight gain hormone imbalance fatigue neck enlargement eye irritation fatigue sore throat no prior illness reported,1,0,0,0,1,0,0,0,0,1
bone weakness tooth decay mild headache after travel,0,0,1,0,0,0,0,0,0,0
low hemoglobin shortness of breath vision problems coordination issues immune weakness muscle weakness patient visited clinic yesterday,0,1,0,1,0,0,0,0,0,0
nerve issues irritability frequent infections hair loss slow growth loss of appetite skin rash fatigue eye irritation cracked lips no prior illness reported,0,0,0,0,1,0,0,1,0,1
without dizziness fatigue anemia shortness of breath low hemoglobin pale skin patient visited clinic yesterday,0,0,0,0,0,0,0,0,0,0
low hemoglobin pale skin fatigue anemia mild headache after travel,0,0,0,1,0,0,0,0,0,0
no anemia pregnancy issues poor diet fatigue weakness,0,0,0,0,0,0,0,0,0,0
poor immunity loss of appetite frequent infections hair loss slow growth bone pain muscle weakness back pain,0,0,0,0,0,0,0,0,1,1
muscle weakness coordination issues immune weakness vision problems not poor diet fatigue weakness,0,1,0,0,0,0,0,0,0,0
scurvy bleeding gums slow healing low sunlight back pain muscle weakness,0,0,0,0,0,0,1,0,1,0
bone weakness muscle cramps joint stiffness tooth decay brittle nails general discomfort,0,0,1,0,0,0,0,0,0,0
tooth decay muscle cramps joint stiffness brittle nails not weak immunity bleeding gums joint pain slow healing poor diet pregnancy issues fatigue anemia mild headache after travel,0,0,1,0,0,1,0,0,0,0
cracked lips skin rash fatigue eye irritation sore throat fractures back pain bone pain low sunlight hair loss poor immunity frequent infections loss of appetite slow growth,0,0,0,0,1,0,0,0,1,1
irritability mood changes scurvy bleeding gums joint pain pale skin shortness of breath dizziness fatigue anemia low hemoglobin mild headache after travel,0,0,0,1,0,0,1,1,0,0
pale skin dizziness anemia fatigue low hemoglobin joint pain bleeding gums general discomfort,0,0,0,1,0,0,1,0,0,0
low sunlight back pain eye irritation fatigue cracked lips sore throat anemia fatigue mild headache after travel,0,0,0,0,1,1,0,0,1,0
joint pain scurvy bleeding gums weak immunity goiter weight gain joint stiffness tooth decay,1,0,1,0,0,0,1,0,0,0
hair loss frequent infections poor immunity loss of appetite no bone pain fractures low sunlight muscle weakness,0,0,0,0,0,0,0,0,0,1
not fatigue shortness of breath pale skin dizziness no weight gain neck enlargement thyroid swelling fatigue,0,0,0,0,0,0,0,0,0,0
goiter fatigue slow healing weak immunity scurvy joint pain bleeding gums,1,0,0,0,0,0,1,0,0,0
not brittle nails muscle cramps bone weakness nerve issues mood changes confusion,0,0,0,0,0,0,0,1,0,0
frequent infections slow growth loss of appetite hair loss poor immunity bleeding gums joint pain dizziness shortness of breath low hemoglobin pale skin general discomfort,0,0,0,1,0,0,1,0,0,1
coordination issues muscle weakness vision problems fractures muscle weakness pale skin anemia shortness of breath,0,1,0,1,0,0,0,0,1,0
eye irritation sore throat joint pain weak immunity scurvy,0,0,0,0,1,0,1,0,0,0
fatigue pregnancy issues brittle nails tooth decay no prior illness reported,0,0,1,0,0,1,0,0,0,0
joint pain bleeding gums slow healing,0,0,0,0,0,0,1,0,0,0
hormone imbalance neck enlargement fatigue low hemoglobin fatigue anemia dizziness low sunlight fractures muscle weakness no prior illness reported,1,0,0,1,0,0,0,0,1,0
cracked lips fatigue skin rash sore throat eye irritation frequent infections loss of appetite patient visited clinic yesterday,0,0,0,0,1,0,0,0,0,1
slow growth loss of appetite frequent infections poor immunity joint pain weak immunity slow healing mild headache after travel,0,0,0,0,0,0,1,0,0,1
slow growth loss of appetite hair loss poor immunity no prior illness reported,0,0,0,0,0,0,0,0,0,1
back pain fractures low sunlight muscle weakness fatigue shortness of breath dizziness no prior illness reported,0,0,0,1,0,0,0,0,1,0
frequent infections poor immunity hair loss bone pain low sunlight back pain muscle weakness fractures general discomfort,0,0,0,0,0,0,0,0,1,1
joint pain slow healing weak immunity bleeding gums scurvy general discomfort,0,0,0,0,0,0,1,0,0,0
without skin rash cracked lips sore throat irritability depression patient visited clinic yesterday,0,0,0,0,0,0,0,1,0,0
back pain fractures mood changes irritability confusion nerve issues depression dizziness shortness of breath pale skin routine checkup,0,0,0,1,0,0,0,1,1,0
no neck enlargement thyroid swelling frequent infections poor immunity slow growth loss of appetite shortness of breath dizziness low hemoglobin patient visited clinic yesterday,0,0,0,1,0,0,0,0,0,1
scurvy joint pain slow healing weak immunity,0,0,0,0,0,0,1,0,0,0
joint stiffness tooth decay bone weakness muscle cramps brittle nails pregnancy issues poor diet,0,0,1,0,0,1,0,0,0,0
no dizziness pale skin low hemoglobin fatigue shortness of breath anemia neck enlargement thyroid swelling weight gain hormone imbalance goiter bleeding gums weak immunity joint pain patient visited clinic yesterday,1,0,0,0,0,0,1,0,0,0
back pain bone pain,0,0,0,0,0,0,0,0,1,0
immune weakness muscle weakness nerve damage vision problems fatigue pregnancy issues poor diet weakness anemia,0,1,0,0,0,1,0,0,0,0
bleeding gums slow healing scurvy joint pain tooth decay muscle cramps joint stiffness,0,0,1,0,0,0,1,0,0,0
immune weakness nerve damage fatigue shortness of breath pale skin anemia low hemoglobin dizziness,0,1,0,1,0,0,0,0,0,0
tooth decay muscle cramps bone weakness joint stiffness,0,0,1,0,0,0,0,0,0,0
anemia low hemoglobin pale skin dizziness fatigue shortness of breath immune weakness coordination issues muscle weakness anemia weakness poor diet fatigue pregnancy issues,0,1,0,1,0,1,0,0,0,0
fractures muscle weakness bone pain no prior illness reported,0,0,0,0,0,0,0,0,1,0
no low hemoglobin pale skin shortness of breath without fractures low sunlight,0,0,0,0,0,0,0,0,0,0
no slow healing weak immunity bleeding gums slow growth poor immunity frequent infections,0,0,0,0,0,0,0,0,0,1
frequent infections loss of appetite slow growth hair loss immune weakness muscle weakness nerve damage coordination issues,0,1,0,0,0,0,0,0,0,1
without shortness of breath dizziness,0,0,0,0,0,0,0,0,0,0
muscle cramps joint stiffness tooth decay brittle nails bone weakness loss of appetite slow growth routine checkup,0,0,1,0,0,0,0,0,0,1
fatigue eye irritation skin rash cracked lips sore throat general discomfort,0,0,0,0,1,0,0,0,0,0
loss of appetite frequent infections hair loss bleeding gums scurvy weak immunity routine checkup,0,0,0,0,0,0,1,0,0,1
thyroid swelling goiter neck enlargement fatigue weight gain hormone imbalance no eye irritation fatigue sore throat skin rash weak immunity scurvy no prior illness reported,1,0,0,0,0,0,1,0,0,0
joint pain weak immunity slow healing bleeding gums scurvy no poor immunity hair loss frequent infections slow growth not depression irritability confusion mood changes patient visited clinic yesterday,0,0,0,0,0,0,1,0,0,0
tooth decay bone weakness routine checkup,0,0,1,0,0,0,0,0,0,0
loss of appetite hair loss poor immunity without irritability depression nerve issues confusion weak immunity slow healing joint pain bleeding gums scurvy,0,0,0,0,0,0,1,0,0,1
brittle nails muscle cramps bone weakness tooth decay poor diet anemia no prior illness reported,0,0,1,0,0,1,0,0,0,0
hair loss poor immunity slow growth loss of appetite general discomfort,0,0,0,0,0,0,0,0,0,1
thyroid swelling goiter neck enlargement fatigue hormone imbalance weight gain muscle weakness coordination issues vision problems nerve damage immune weakness no prior illness reported,1,1,0,0,0,0,0,0,0,0
fatigue cracked lips skin rash sore throat,0,0,0,0,1,0,0,0,0,0
without frequent infections slow growth hair loss loss of appetite bleeding gums scurvy joint pain slow healing weak immunity,0,0,0,0,0,0,1,0,0,0
not joint pain bleeding gums,0,0,0,0,0,0,0,0,0,0
dizziness pale skin fatigue anemia shortness of breath low hemoglobin goiter neck enlargement weight gain without skin rash sore throat cracked lips no prior illness reported,1,0,0,1,0,0,0,0,0,0
not muscle weakness immune weakness vision problems pregnancy issues weakness fatigue poor diet patient visited clinic yesterday,0,0,0,0,0,1,0,0,0,0
not coordination issues vision problems muscle weakness dizziness fatigue shortness of breath low hemoglobin pale skin anemia goiter thyroid swelling,1,0,0,1,0,0,0,0,0,0
no weak immunity slow healing bleeding gums joint pain scurvy nerve issues mood changes depression irritability,0,0,0,0,0,0,0,1,0,0
back pain bone pain low sunlight fractures pregnancy issues fatigue anemia immune weakness nerve damage muscle weakness no prior illness reported,0,1,0,0,0,1,0,0,1,0
joint stiffness tooth decay fractures back pain low sunlight bone pain muscle weakness immune weakness coordination issues vision problems no prior illness reported,0,1,1,0,0,0,0,0,1,0
nerve issues depression weak immunity slow healing bone weakness muscle cramps tooth decay,0,0,1,0,0,0,1,1,0,0
not loss of appetite poor immunity slow growth frequent infections,0,0,0,0,0,0,0,0,0,0
mood changes irritability nerve issues depression routine checkup,0,0,0,0,0,0,0,1,0,0
dizziness low hemoglobin general discomfort,0,0,0,1,0,0,0,0,0,0
bone pain low sunlight muscle weakness general discomfort,0,0,0,0,0,0,0,0,1,0
slow growth loss of appetite dizziness shortness of breath pale skin,0,0,0,1,0,0,0,0,0,1
hormone imbalance neck enlargement weight gain thyroid swelling goiter fatigue patient visited clinic yesterday,1,0,0,0,0,0,0,0,0,0
eye irritation fatigue not hair loss frequent infections slow growth poor immunity routine checkup,0,0,0,0,1,0,0,0,0,0
bone weakness joint stiffness brittle nails weak immunity scurvy joint pain bleeding gums low hemoglobin dizziness,0,0,1,1,0,0,1,0,0,0
neck enlargement fatigue goiter weight gain hormone imbalance thyroid swelling cracked lips eye irritation skin rash sore throat fatigue anemia fatigue poor diet pregnancy issues weakness routine checkup,1,0,0,0,1,1,0,0,0,0
pregnancy issues weakness poor diet anemia fatigue immune weakness muscle weakness vision problems nerve damage,0,1,0,0,0,1,0,0,0,0
no fatigue eye irritation sore throat nerve issues irritability depression mood changes confusion patient visited clinic yesterday,0,0,0,0,0,0,0,1,0,0
cracked lips fatigue,0,0,0,0,1,0,0,0,0,0
pregnancy issues fatigue weakness anemia general discomfort,0,0,0,0,0,1,0,0,0,0
no poor immunity loss of appetite patient visited clinic yesterday,0,0,0,0,0,0,0,0,0,0
fatigue anemia poor diet weakness,0,0,0,0,0,1,0,0,0,0
weak immunity bleeding gums joint pain frequent infections loss of appetite poor immunity slow growth hair loss no tooth decay bone weakness joint stiffness patient visited clinic yesterday,0,0,0,0,0,0,1,0,0,1
immune weakness vision problems coordination issues muscle weakness scurvy joint pain bleeding gums slow healing,0,1,0,0,0,0,1,0,0,0
fatigue low hemoglobin dizziness pale skin shortness of breath,0,0,0,1,0,0,0,0,0,0
muscle cramps joint stiffness tooth decay brittle nails bone weakness cracked lips skin rash sore throat,0,0,1,0,1,0,0,0,0,0
not immune weakness coordination issues muscle weakness weight gain hormone imbalance no prior illness reported,1,0,0,0,0,0,0,0,0,0
shortness of breath low hemoglobin anemia fatigue pale skin dizziness patient visited clinic yesterday,0,0,0,1,0,0,0,0,0,0
joint stiffness muscle cramps bone pain low sunlight no prior illness reported,0,0,1,0,0,0,0,0,1,0
weakness anemia poor diet muscle weakness fractures mild headache after travel,0,0,0,0,0,1,0,0,1,0
cracked lips eye irritation skin rash slow growth loss of appetite hair loss,0,0,0,0,1,0,0,0,0,1
nerve damage vision problems no thyroid swelling goiter hormone imbalance fatigue weight gain neck enlargement,0,1,0,0,0,0,0,0,0,0
frequent infections loss of appetite tooth decay bone weakness brittle nails no prior illness reported,0,0,1,0,0,0,0,0,0,1
weight gain hormone imbalance thyroid swelling goiter neck enlargement no prior illness reported,1,0,0,0,0,0,0,0,0,0
anemia pale skin fatigue shortness of breath,0,0,0,1,0,0,0,0,0,0
joint pain bleeding gums weak immunity slow healing no prior illness reported,0,0,0,0,0,0,1,0,0,0
muscle cramps joint stiffness poor diet pregnancy issues fatigue anemia,0,0,1,0,0,1,0,0,0,0
frequent infections poor immunity loss of appetite hair loss slow growth nerve damage vision problems muscle weakness coordination issues immune weakness shortness of breath low hemoglobin pale skin anemia routine checkup,0,1,0,1,0,0,0,0,0,1
no hair loss slow growth poor immunity frequent infections weight gain goiter neck enlargement thyroid swelling general discomfort,1,0,0,0,0,0,0,0,0,0
frequent infections slow growth poor immunity hair loss patient visited clinic yesterday,0,0,0,0,0,0,0,0,0,1
poor immunity frequent infections hair loss loss of appetite slow growth no prior illness reported,0,0,0,0,0,0,0,0,0,1
nerve issues confusion mood changes depression irritability weight gain neck enlargement goiter fatigue hormone imbalance thyroid swelling,1,0,0,0,0,0,0,1,0,0
fatigue dizziness low hemoglobin shortness of breath without cracked lips sore throat skin rash scurvy weak immunity slow healing,0,0,0,1,0,0,1,0,0,0
low hemoglobin anemia fatigue pale skin shortness of breath coordination issues muscle weakness vision problems nerve damage immune weakness skin rash sore throat cracked lips fatigue,0,1,0,1,1,0,0,0,0,0
weight gain goiter joint pain slow healing,1,0,0,0,0,0,1,0,0,0
muscle weakness back pain low sunlight nerve issues depression mood changes,0,0,0,0,0,0,0,1,1,0
bleeding gums weak immunity scurvy,0,0,0,0,0,0,1,0,0,0
goiter hormone imbalance weight gain brittle nails bone weakness routine checkup,1,0,1,0,0,0,0,0,0,0
low hemoglobin pale skin without weakness pregnancy issues poor diet anemia vision problems muscle weakness nerve damage immune weakness coordination issues,0,1,0,1,0,0,0,0,0,0
irritability confusion depression nerve issues mood changes mild headache after travel,0,0,0,0,0,0,0,1,0,0
nerve issues mood changes irritability no prior illness reported,0,0,0,0,0,0,0,1,0,0
no back pain muscle weakness bone pain general discomfort,0,0,0,0,0,0,0,0,0,0
hair loss poor immunity patient visited clinic yesterday,0,0,0,0,0,0,0,0,0,1
fatigue low hemoglobin pale skin depression irritability general discomfort,0,0,0,1,0,0,0,1,0,0
not joint pain slow healing weak immunity bleeding gums scurvy bone weakness tooth decay,0,0,1,0,0,0,0,0,0,0
cracked lips sore throat fatigue eye irritation without thyroid swelling goiter neck enlargement no joint stiffness muscle cramps bone weakness no prior illness reported,0,0,0,0,1,0,0,0,0,0
nerve damage coordination issues muscle weakness vision problems joint stiffness brittle nails muscle cramps tooth decay no prior illness reported,0,1,1,0,0,0,0,0,0,0
tooth decay joint stiffness bone weakness routine checkup,0,0,1,0,0,0,0,0,0,0
skin rash eye irritation fatigue cracked lips mild headache after travel,0,0,0,0,1,0,0,0,0,0
confusion depression mood changes irritability nerve issues without fractures back pain low sunlight patient visited clinic yesterday,0,0,0,0,0,0,0,1,0,0
depression irritability mood changes confusion,0,0,0,0,0,0,0,1,0,0
pregnancy issues anemia poor diet low hemoglobin pale skin shortness of breath dizziness bone weakness muscle cramps mild headache after travel,0,0,1,1,0,1,0,0,0,0
not muscle weakness low sunlight bone pain fractures back pain brittle nails tooth decay bone weakness joint stiffness vision problems immune weakness no prior illness reported,0,1,1,0,0,0,0,0,0,0
scurvy slow healing no vision problems muscle weakness nerve damage no fatigue pregnancy issues weakness no prior illness reported,0,0,0,0,0,0,1,0,0,0
fractures muscle weakness not sore throat skin rash cracked lips,0,0,0,0,0,0,0,0,1,0
poor immunity frequent infections slow growth hair loss nerve damage muscle weakness routine checkup,0,1,0,0,0,0,0,0,0,1
not joint stiffness tooth decay muscle cramps bone weakness brittle nails anemia fatigue confusion depression nerve issues irritability no prior illness reported,0,0,0,0,0,1,0,1,0,0
frequent infections loss of appetite poor immunity hair loss slow growth tooth decay joint stiffness muscle cramps brittle nails bone weakness mood changes confusion nerve issues no prior illness reported,0,0,1,0,0,0,0,1,0,1
fractures muscle weakness mild headache after travel,0,0,0,0,0,0,0,0,1,0
fractures bone pain muscle weakness low sunlight irritability confusion routine checkup,0,0,0,0,0,0,0,1,1,0
weakness anemia poor diet pale skin dizziness fatigue low hemoglobin anemia shortness of breath general discomfort,0,0,0,1,0,1,0,0,0,0
no hormone imbalance thyroid swelling neck enlargement joint stiffness brittle nails muscle cramps tooth decay bone weakness patient visited clinic yesterday,0,0,1,0,0,0,0,0,0,0
muscle cramps brittle nails bone weakness tooth decay joint stiffness fatigue shortness of breath low hemoglobin dizziness anemia,0,0,1,1,0,0,0,0,0,0
slow healing bleeding gums,0,0,0,0,0,0,1,0,0,0
slow growth hair loss frequent infections,0,0,0,0,0,0,0,0,0,1
fatigue skin rash sore throat eye irritation cracked lips dizziness anemia shortness of breath muscle weakness coordination issues immune weakness,0,1,0,1,1,0,0,0,0,0
without back pain fractures muscle weakness bone pain low sunlight general discomfort,0,0,0,0,0,0,0,0,0,0
coordination issues nerve damage hormone imbalance goiter weight gain mild headache after travel,1,1,0,0,0,0,0,0,0,0
loss of appetite hair loss goiter neck enlargement muscle weakness bone pain back pain low sunlight,1,0,0,0,0,0,0,0,1,1
mood changes irritability nerve issues poor immunity loss of appetite frequent infections hair loss slow growth,0,0,0,0,0,0,0,1,0,1
neck enlargement goiter cracked lips skin rash eye irritation patient visited clinic yesterday,1,0,0,0,1,0,0,0,0,0
poor diet weakness,0,0,0,0,0,1,0,0,0,0
shortness of breath anemia pale skin fatigue low hemoglobin muscle weakness bone pain low sunlight fractures patient visited clinic yesterday,0,0,0,1,0,0,0,0,1,0
fatigue cracked lips,0,0,0,0,1,0,0,0,0,0
thyroid swelling hormone imbalance weight gain anemia pregnancy issues fatigue weakness vision problems nerve damage coordination issues muscle weakness,1,1,0,0,0,1,0,0,0,0
anemia pregnancy issues fatigue,0,0,0,0,0,1,0,0,0,0
thyroid swelling goiter fatigue weight gain hormone imbalance tooth decay bone weakness muscle cramps brittle nails,1,0,1,0,0,0,0,0,0,0
not mood changes irritability depression nerve issues confusion joint stiffness tooth decay bone weakness,0,0,1,0,0,0,0,0,0,0
nerve issues mood changes irritability patient visited clinic yesterday,0,0,0,0,0,0,0,1,0,0
pale skin anemia patient visited clinic yesterday,0,0,0,1,0,0,0,0,0,0
bleeding gums weak immunity confusion mood changes depression no prior illness reported,0,0,0,0,0,0,1,1,0,0
confusion irritability mood changes nerve issues muscle weakness vision problems coordination issues immune weakness nerve damage,0,1,0,0,0,0,0,1,0,0
pregnancy issues fatigue weakness anemia poor diet routine checkup,0,0,0,0,0,1,0,0,0,0
muscle weakness immune weakness,0,1,0,0,0,0,0,0,0,0
neck enlargement goiter fatigue low hemoglobin dizziness no pregnancy issues poor diet patient visited clinic yesterday,1,0,0,1,0,0,0,0,0,0
weakness fatigue pregnancy issues anemia dizziness low hemoglobin fatigue,0,0,0,1,0,1,0,0,0,0
goiter neck enlargement fatigue anemia fatigue pale skin low hemoglobin not vision problems nerve damage coordination issues,1,0,0,1,0,0,0,0,0,0
joint pain slow healing bleeding gums scurvy not shortness of breath dizziness anemia,0,0,0,0,0,0,1,0,0,0
brittle nails joint stiffness tooth decay bone weakness muscle cramps anemia dizziness shortness of breath low hemoglobin patient visited clinic yesterday,0,0,1,1,0,0,0,0,0,0
fatigue cracked lips without fatigue weakness poor diet anemia pregnancy issues bone weakness tooth decay brittle nails joint stiffness general discomfort,0,0,1,0,1,0,0,0,0,0
poor immunity loss of appetite no prior illness reported,0,0,0,0,0,0,0,0,0,1
confusion nerve issues depression irritability mood changes mild headache after travel,0,0,0,0,0,0,0,1,0,0
confusion depression nerve issues mood changes irritability without frequent infections slow growth loss of appetite,0,0,0,0,0,0,0,1,0,0
slow growth poor immunity hormone imbalance thyroid swelling muscle weakness bone pain fractures back pain low sunlight no prior illness reported,1,0,0,0,0,0,0,0,1,1
joint pain bleeding gums slow healing weak immunity scurvy no prior illness reported,0,0,0,0,0,0,1,0,0,0
frequent infections poor immunity slow growth loss of appetite mild headache after travel,0,0,0,0,0,0,0,0,0,1
no depression irritability confusion mood changes without fractures muscle weakness low sunlight bone pain scurvy weak immunity slow healing bleeding gums patient visited clinic yesterday,0,0,0,0,0,0,1,0,0,0
not neck enlargement fatigue hormone imbalance muscle weakness vision problems coordination issues fatigue weakness poor diet,0,1,0,0,0,1,0,0,0,0
fatigue low hemoglobin shortness of breath dizziness anemia not hair loss loss of appetite slow growth goiter thyroid swelling hormone imbalance neck enlargement fatigue,1,0,0,1,0,0,0,0,0,0
no fractures back pain,0,0,0,0,0,0,0,0,0,0
hair loss frequent infections joint stiffness tooth decay,0,0,1,0,0,0,0,0,0,1
mood changes nerve issues irritability confusion depression not bleeding gums joint pain scurvy weak immunity neck enlargement fatigue patient visited clinic yesterday,1,0,0,0,0,0,0,1,0,0
joint stiffness muscle cramps brittle nails tooth decay bone weakness goiter fatigue weight gain neck enlargement thyroid swelling,1,0,1,0,0,0,0,0,0,0
low hemoglobin fatigue shortness of breath dizziness pale skin eye irritation cracked lips fatigue sore throat general discomfort,0,0,0,1,1,0,0,0,0,0
not fatigue neck enlargement thyroid swelling goiter hormone imbalance weight gain,0,0,0,0,0,0,0,0,0,0
irritability mood changes confusion routine checkup,0,0,0,0,0,0,0,1,0,0
mood changes irritability routine checkup,0,0,0,0,0,0,0,1,0,0
bleeding gums scurvy muscle weakness coordination issues nerve damage vision problems patient visited clinic yesterday,0,1,0,0,0,0,1,0,0,0
without thyroid swelling weight gain fatigue hormone imbalance goiter dizziness low hemoglobin pale skin fatigue shortness of breath anemia,0,0,0,1,0,0,0,0,0,0
not hair loss poor immunity no low hemoglobin dizziness anemia fatigue shortness of breath,0,0,0,0,0,0,0,0,0,0
without shortness of breath dizziness anemia fatigue,0,0,0,0,0,0,0,0,0,0
fatigue weakness poor diet anemia pregnancy issues without irritability mood changes nerve issues frequent infections hair loss,0,0,0,0,0,1,0,0,0,1
mood changes irritability cracked lips sore throat skin rash,0,0,0,0,1,0,0,1,0,0
hair loss frequent infections muscle weakness bone pain back pain patient visited clinic yesterday,0,0,0,0,0,0,0,0,1,1
anemia poor diet neck enlargement fatigue hormone imbalance coordination issues nerve damage muscle weakness immune weakness vision problems patient visited clinic yesterday,1,1,0,0,0,1,0,0,0,0
muscle cramps tooth decay bone weakness hormone imbalance neck enlargement thyroid swelling fatigue goiter routine checkup,1,0,1,0,0,0,0,0,0,0
pregnancy issues fatigue poor diet anemia weakness mild headache after travel,0,0,0,0,0,1,0,0,0,0
no anemia pregnancy issues patient visited clinic yesterday,0,0,0,0,0,0,0,0,0,0
brittle nails bone weakness joint stiffness skin rash sore throat cracked lips eye irritation fatigue,0,0,1,0,1,0,0,0,0,0
depression mood changes nerve issues irritability confusion neck enlargement goiter weight gain,1,0,0,0,0,0,0,1,0,0
without coordination issues vision problems nerve damage poor diet weakness anemia joint pain bleeding gums scurvy,0,0,0,0,0,1,1,0,0,0
without joint pain slow healing patient visited clinic yesterday,0,0,0,0,0,0,0,0,0,0
sore throat skin rash eye irritation fatigue cracked lips fatigue poor diet weakness,0,0,0,0,1,1,0,0,0,0
immune weakness coordination issues muscle weakness,0,1,0,0,0,0,0,0,0,0
anemia pregnancy issues poor diet weakness without low hemoglobin dizziness routine checkup,0,0,0,0,0,1,0,0,0,0
without eye irritation skin rash sore throat cracked lips general discomfort,0,0,0,0,0,0,0,0,0,0
anemia fatigue pregnancy issues weakness,0,0,0,0,0,1,0,0,0,0
weak immunity slow healing depression nerve issues confusion patient visited clinic yesterday,0,0,0,0,0,0,1,1,0,0
poor immunity slow growth hair loss frequent infections low sunlight fractures confusion depression irritability,0,0,0,0,0,0,0,1,1,1
no scurvy slow healing bleeding gums patient visited clinic yesterday,0,0,0,0,0,0,0,0,0,0
without brittle nails muscle cramps bone weakness tooth decay cracked lips sore throat fatigue joint pain weak immunity slow healing bleeding gums scurvy mild headache after travel,0,0,0,0,1,0,1,0,0,0
irritability mood changes depression nerve issues weight gain goiter fatigue patient visited clinic yesterday,1,0,0,0,0,0,0,1,0,0
not weight gain goiter neck enlargement hormone imbalance no prior illness reported,0,0,0,0,0,0,0,0,0,0
depression nerve issues confusion bone pain fractures muscle weakness back pain patient visited clinic yesterday,0,0,0,0,0,0,0,1,1,0
slow healing scurvy joint pain bleeding gums frequent infections loss of appetite poor immunity hair loss slow growth,0,0,0,0,0,0,1,0,0,1
joint pain slow healing weak immunity bleeding gums scurvy nerve damage coordination issues vision problems muscle weakness immune weakness not weight gain hormone imbalance neck enlargement no prior illness reported,0,1,0,0,0,0,1,0,0,0
anemia shortness of breath dizziness,0,0,0,1,0,0,0,0,0,0
bone pain fractures confusion nerve issues mood changes depression irritability loss of appetite hair loss frequent infections patient visited clinic yesterday,0,0,0,0,0,0,0,1,1,1
not skin rash eye irritation fatigue sore throat mild headache after travel,0,0,0,0,0,0,0,0,0,0
fatigue poor diet anemia weakness pregnancy issues nerve issues mood changes depression routine checkup,0,0,0,0,0,1,0,1,0,0
neck enlargement hormone imbalance coordination issues vision problems,1,1,0,0,0,0,0,0,0,0
joint pain weak immunity bleeding gums loss of appetite hair loss poor immunity frequent infections slow growth not fatigue neck enlargement no prior illness reported,0,0,0,0,0,0,1,0,0,1
no pale skin dizziness fatigue goiter neck enlargement weight gain hormone imbalance routine checkup,1,0,0,0,0,0,0,0,0,0
joint pain scurvy poor immunity frequent infections hair loss,0,0,0,0,0,0,1,0,0,1
